Phorophyte	T_schiedeana	T_juncea	Pleopeltis_1	T_fasciculata	Scaphyglottis	T_caput-medusae	Prosthechea	Campylocentrum	E_barbeyanum	Asplenium	Pleurothallis	Polypodium	Vittaria	Phlebodium	F_jimenezii	F_costaricana	P_angularis	Catopsis	Hymenophyllum	Pteridophyta	E_oerstedii	Pleopeltis_2	Hylocereus	Encyclia	P_galioides	Anthurium	Monstera	Werauhia	F_pertusa	Guarianthe	Philodendron	Pitcairnia	Epiphyllum	Rhipsalis	Selenocerius	Maxillaria																																	
Albizia_adinocephala__01	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0																																	
Annona_cherimola_01	0	4	16	0	0	2	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Casuarina_cunninghamia_02	1	1	15	3	0	0	0	0	0	0	0	2	7	4	0	4	0	1	3	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0																																	
Casuarina_cunninghamia_01	41	0	0	7	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Cedrela_odorata_01	15	18	2	2	6	1	5	0	13	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0																																	
Cedrela_odorata_02	25	7	3	0	29	0	0	0	2	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Cedrela_odorata_03	7	16	1	1	137	0	1	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0																																	
Cedrela_odorata_04	13	19	2	3	12	0	34	0	11	0	0	5	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0																																	
Cedrela_odorata_05	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Cedrela_odorata_06	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Cedrela_odorata_07	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Cedrela_odorata_08	17	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Cojoba_arborea_01	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Cojoba_arborea_02	1	1	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Cojoba_arborea_03	2	1	17	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Cojoba_arborea_04	0	1	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0																																	
Cojoba_arborea_06	0	1	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Cojoba_arborea_07	0	8	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Conostegia_xalapensis_01	9	10	70	7	11	0	7	27	6	0	0	2	3	3	2	1	0	2	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0																																	
Cordia_eriostigma_01	0	24	2	11	0	0	0	2	8	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0																																	
Cordia_eriostigma_02	0	3	38	0	0	0	8	3	2	13	0	2	1	0	3	2	20	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Delonix_regia_01	1	2	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Enterolobium_cyclocarpum_01	4	17	33	0	0	6	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Enterolobium_cyclocarpum_02	62	121	0	31	4	26	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Eugenia_01	3	3	13	0	0	0	0	2	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Eugenia_02	1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Eugenia_03	0	9	14	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Eugenia_04	0	4	10	0	0	1	0	25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Eugenia_05	0	5	14	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Ficus_benjamina_01	97	40	2	43	0	5	1	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0																																	
Ficus_costaricana_01	0	0	15	0	0	0	2	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Ficus_jimenezii_01	6	83	21	38	7	4	16	1	8	30	0	0	0	0	0	0	8	1	0	0	0	0	0	0	6	3	0	0	0	0	1	0	0	1	0	0																																	
Ficus_jimenezii_02	0	5	6	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Ficus_jimenezii_03	17	12	1	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0																																	
Inga_01	0	2	24	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Jacaranda_mimosifolia_01	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Jacaranda_mimosifolia_02	4	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Jacaranda_mimosifolia_03	94	124	3	49	0	20	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Jacaranda_mimosifolia_04	149	24	6	31	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Jacaranda_mimosifolia_05	4	8	23	0	0	15	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Lagerstroemia_speciosa_01	41	17	38	24	49	0	0	8	0	0	49	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Liquidambar_styraciflua_01	0	0	17	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Mauria_heterophylla_01	23	7	0	11	3	0	10	2	7	0	0	3	11	10	1	3	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0																																	
Mauria_heterophylla_02	1	0	26	0	2	0	0	14	0	0	0	5	27	2	1	0	0	1	9	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1																																	
Myroxylon_balsamum_01	0	52	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Pachira_quinata_01	14	19	8	10	17	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Persea_americana_01	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Pouteria_fossicola_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Spathodea_campanulata_01	53	48	30	41	8	0	22	0	7	11	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0																																	
Spathodea_campanulata_02	58	18	16	5	0	0	7	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Spathodea_campanulata_03	21	6	48	1	0	0	31	0	6	43	0	1	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Spondias_purpurea_01	151	29	3	23	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Spondias_purpurea_02	14	18	3	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Spondias_purpurea_03	51	37	3	3	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Syzygium_malaccense_01	9	7	17	15	0	0	0	5	7	1	0	0	0	8	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	1	0																																	
Tabebuia_ochracea_01	2	16	32	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Tabebuia_rosea_01	2	33	0	5	0	0	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Tabebuia_rosea_02	47	28	8	5	4	5	2	0	3	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Tabebuia_rosea_03	48	41	20	4	9	8	2	1	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Tabebuia_rosea_04	15	24	18	2	2	1	5	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0																																	
Tabebuia_rosea_05	7	14	5	22	49	0	6	0	14	2	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Tabebuia_rosea_06	13	21	6	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Tabebuia_rosea_07	9	38	65	2	0	1	6	0	2	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0																																	
Tabebuia_rosea_08	61	47	1	46	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Tabebuia_rosea_09	2	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Tabebuia_rosea_10	6	25	22	26	2	3	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Tabebuia_rosea_11	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Tapirira_mexicana_01	2	15	40	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Thevetia_peruviana_01	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Cojoba_arborea_05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Billia_rosea_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
Persea_amaricana_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
